timestamp,frame,estacion,camara,personas,confianza_promedio,latencia_ms
2026-05-19T21:01:42.070107,2,Caqueta,CAM-A1,3,0.725,331.26
2026-05-19T21:01:42.179336,4,Caqueta,CAM-A1,3,0.581,64.73
2026-05-19T21:01:42.245124,6,Caqueta,CAM-A1,3,0.446,55.88
2026-05-19T21:01:42.313091,8,Caqueta,CAM-A1,4,0.494,60.27
2026-05-19T21:01:42.379949,10,Caqueta,CAM-A1,2,0.554,56.55
2026-05-19T21:01:42.440151,12,Caqueta,CAM-A1,5,0.57,53.13
2026-05-19T21:01:42.518480,14,Caqueta,CAM-A1,7,0.618,68.47
2026-05-19T21:01:42.610874,16,Caqueta,CAM-A1,7,0.621,73.73
2026-05-19T21:01:42.677573,18,Caqueta,CAM-A1,5,0.558,54.23
2026-05-19T21:01:42.746881,20,Caqueta,CAM-A1,5,0.624,59.06
2026-05-19T21:01:42.814449,22,Caqueta,CAM-A1,6,0.656,56.05
2026-05-19T21:01:42.880121,24,Caqueta,CAM-A1,6,0.718,59.01
2026-05-19T21:01:42.936525,26,Caqueta,CAM-A1,5,0.685,52.51
2026-05-19T21:01:43.014225,28,Caqueta,CAM-A1,5,0.614,58.35
2026-05-19T21:01:43.072422,30,Caqueta,CAM-A1,7,0.611,53.23
2026-05-19T21:01:43.147364,32,Caqueta,CAM-A1,5,0.59,56.83
2026-05-19T21:01:43.207362,34,Caqueta,CAM-A1,4,0.696,53.92
2026-05-19T21:01:43.268459,36,Caqueta,CAM-A1,4,0.706,52.49
2026-05-19T21:01:43.327480,38,Caqueta,CAM-A1,5,0.65,46.66
2026-05-19T21:01:43.388772,40,Caqueta,CAM-A1,6,0.565,45.66
2026-05-19T21:01:43.459254,42,Caqueta,CAM-A1,5,0.575,51.88
2026-05-19T21:01:43.525128,44,Caqueta,CAM-A1,5,0.583,55.16
2026-05-19T21:01:43.594088,46,Caqueta,CAM-A1,5,0.638,61.14
2026-05-19T21:01:43.686508,48,Caqueta,CAM-A1,4,0.687,74.67
2026-05-19T21:01:43.743276,50,Caqueta,CAM-A1,3,0.68,51.92
2026-05-19T21:01:43.805052,52,Caqueta,CAM-A1,4,0.686,50.28
2026-05-19T21:01:43.868991,54,Caqueta,CAM-A1,4,0.662,50.88
2026-05-19T21:01:43.933386,56,Caqueta,CAM-A1,3,0.711,51.3
2026-05-19T21:01:43.997531,58,Caqueta,CAM-A1,5,0.662,51.01
2026-05-19T21:01:44.063594,60,Caqueta,CAM-A1,6,0.608,53.18
2026-05-19T21:01:44.128281,62,Caqueta,CAM-A1,5,0.63,54.04
2026-05-19T21:01:44.194222,64,Caqueta,CAM-A1,6,0.514,56.26
2026-05-19T21:01:44.261588,66,Caqueta,CAM-A1,6,0.598,61.48
2026-05-19T21:01:44.337719,68,Caqueta,CAM-A1,5,0.637,58.1
2026-05-19T21:01:44.395558,70,Caqueta,CAM-A1,8,0.575,52.64
2026-05-19T21:01:44.456692,72,Caqueta,CAM-A1,7,0.645,51.08
2026-05-19T21:01:44.525521,74,Caqueta,CAM-A1,8,0.575,57.17
2026-05-19T21:01:44.588242,76,Caqueta,CAM-A1,8,0.526,56.78
2026-05-19T21:01:44.645801,78,Caqueta,CAM-A1,7,0.594,51.51
2026-05-19T21:01:44.708587,80,Caqueta,CAM-A1,8,0.626,51.34
2026-05-19T21:01:44.774935,82,Caqueta,CAM-A1,8,0.659,54.35
2026-05-19T21:01:44.835947,84,Caqueta,CAM-A1,7,0.723,52.25
2026-05-19T21:01:44.899218,86,Caqueta,CAM-A1,8,0.646,51.61
2026-05-19T21:01:44.962869,88,Caqueta,CAM-A1,8,0.669,52.59
2026-05-19T21:01:45.025116,90,Caqueta,CAM-A1,9,0.661,51.65
2026-05-19T21:01:45.082612,92,Caqueta,CAM-A1,9,0.643,47.45
2026-05-19T21:01:45.146453,94,Caqueta,CAM-A1,10,0.577,48.67
2026-05-19T21:01:45.204052,96,Caqueta,CAM-A1,13,0.538,43.86
2026-05-19T21:01:45.276313,98,Caqueta,CAM-A1,8,0.647,52.66
2026-05-19T21:01:45.334455,100,Caqueta,CAM-A1,9,0.629,48.16
2026-05-19T21:01:45.398415,102,Caqueta,CAM-A1,7,0.604,48.68
2026-05-19T21:01:45.461098,104,Caqueta,CAM-A1,9,0.475,48.87
2026-05-19T21:01:45.522512,106,Caqueta,CAM-A1,6,0.545,46.48
2026-05-19T21:01:45.592464,108,Caqueta,CAM-A1,9,0.542,52.2
2026-05-19T21:01:45.653045,110,Caqueta,CAM-A1,10,0.615,48.12
2026-05-19T21:01:45.717234,112,Caqueta,CAM-A1,9,0.655,50.38
2026-05-19T21:01:45.780111,114,Caqueta,CAM-A1,9,0.661,49.59
2026-05-19T21:01:45.842070,116,Caqueta,CAM-A1,8,0.648,48.0
2026-05-19T21:01:45.909104,118,Caqueta,CAM-A1,9,0.62,51.33
2026-05-19T21:01:45.969824,120,Caqueta,CAM-A1,8,0.564,50.12
2026-05-19T21:01:46.033609,122,Caqueta,CAM-A1,9,0.534,50.0
2026-05-19T21:01:46.097461,124,Caqueta,CAM-A1,8,0.63,51.29
2026-05-19T21:01:46.165211,126,Caqueta,CAM-A1,8,0.633,54.81
2026-05-19T21:01:46.226900,128,Caqueta,CAM-A1,8,0.618,53.06
2026-05-19T21:01:46.287406,130,Caqueta,CAM-A1,8,0.647,49.72
2026-05-19T21:01:46.351576,132,Caqueta,CAM-A1,7,0.678,50.36
2026-05-19T21:01:46.417403,134,Caqueta,CAM-A1,6,0.621,53.11
2026-05-19T21:01:46.479928,136,Caqueta,CAM-A1,6,0.532,52.16
2026-05-19T21:01:46.542509,138,Caqueta,CAM-A1,5,0.681,50.65
2026-05-19T21:01:46.600265,140,Caqueta,CAM-A1,6,0.621,44.84
2026-05-19T21:01:46.665290,142,Caqueta,CAM-A1,6,0.637,47.37
2026-05-19T21:01:46.731751,144,Caqueta,CAM-A1,6,0.623,50.65
2026-05-19T21:01:46.797037,146,Caqueta,CAM-A1,4,0.681,53.28
2026-05-19T21:01:46.862988,148,Caqueta,CAM-A1,5,0.764,55.88
2026-05-19T21:01:46.924252,150,Caqueta,CAM-A1,6,0.681,53.88
2026-05-19T21:01:46.986201,152,Caqueta,CAM-A1,5,0.611,52.08
2026-05-19T21:01:47.052252,154,Caqueta,CAM-A1,6,0.639,54.07
2026-05-19T21:01:47.111857,156,Caqueta,CAM-A1,5,0.686,49.61
